,hh1,hh2,links,kinship,distance,clan1,clan2,wealth1,wealth2,religion1,religion2,primary1,primary2,head_age1,head_age2,head_sex1,head_sex2
0,001,002,no link,other blood relation,91.2,21.0,6.0,17.657388456344606,6.639588178634644,Catholic,Catholic,0,1,75.0,30.0,1.0,1.0
1,001,003,no link,no blood relation,69.6,21.0,21.0,17.657388456344606,1.5382353127002717,Catholic,Catholic,0,1,75.0,48.0,1.0,0.0
2,001,004,unilateral link,no blood relation,199.2,21.0,23.0,17.657388456344606,2.7430588088035583,Catholic,Catholic,0,1,75.0,80.0,1.0,1.0
3,001,005,no link,no blood relation,252.0,21.0,23.0,17.657388456344606,1.9760980377197266,Catholic,Catholic,0,1,75.0,35.0,1.0,1.0
4,001,006,no link,no blood relation,213.6,21.0,23.0,17.657388456344606,1.3949411339759827,Catholic,Catholic,0,1,75.0,28.0,1.0,1.0
5,001,007,no link,other blood relation,309.6,21.0,4.0,17.657388456344606,3.776666522026062,Catholic,Catholic,0,1,75.0,51.0,1.0,1.0
6,001,008,unilateral link,no blood relation,120.0,21.0,16.0,17.657388456344606,3.174818737030029,Catholic,Lutheran,0,1,75.0,27.0,1.0,1.0
7,001,009,no link,no blood relation,148.8,21.0,19.0,17.657388456344606,2.6475882334709167,Catholic,Lutheran,0,1,75.0,41.0,1.0,0.0
8,001,010,unilateral link,"Nephew/niece/uncle/aunt,cousin,grandparent/grandchild",252.0,21.0,21.0,17.657388456344606,27.96958790206909,Catholic,Muslim,0,1,75.0,42.0,1.0,1.0
9,001,011,no link,no blood relation,374.4,21.0,11.0,17.657388456344606,18.445058963775633,Catholic,Catholic,0,1,75.0,62.0,1.0,1.0
10,001,012,unilateral link,no blood relation,110.4,21.0,16.0,17.657388456344606,1.294794112443924,Catholic,Lutheran,0,0,75.0,41.0,1.0,1.0
11,001,013,no link,"Nephew/niece/uncle/aunt,cousin,grandparent/grandchild",180.0,21.0,21.0,17.657388456344606,0.9580881893634796,Catholic,Catholic,0,1,75.0,36.0,1.0,1.0
12,001,014,no link,"Nephew/niece/uncle/aunt,cousin,grandparent/grandchild",208.8,21.0,21.0,17.657388456344606,1.62941175699234,Catholic,Catholic,0,1,75.0,34.0,1.0,1.0
13,001,015,no link,no blood relation,146.4,21.0,16.0,17.657388456344606,3.6029018359184266,Catholic,Catholic,0,1,75.0,30.0,1.0,1.0
14,001,016,no link,no blood relation,79.2,21.0,20.0,17.657388456344606,0.8876470327377319,Catholic,Lutheran,0,0,75.0,68.0,1.0,0.0
15,001,017,reciprocal link,other blood relation,127.2,21.0,6.0,17.657388456344606,27.64897018432617,Catholic,Catholic,0,1,75.0,60.0,1.0,1.0
16,001,018,no link,"Nephew/niece/uncle/aunt,cousin,grandparent/grandchild",232.8,21.0,21.0,17.657388456344606,3.379632411003113,Catholic,Catholic,0,1,75.0,34.0,1.0,1.0
17,001,019,no link,no blood relation,300.0,21.0,16.0,17.657388456344606,3.1777058000564575,Catholic,Catholic,0,1,75.0,50.0,1.0,0.0
18,001,020,no link,"Nephew/niece/uncle/aunt,cousin,grandparent/grandchild",259.2,21.0,2.0,17.657388456344606,5.163623468399048,Catholic,Muslim,0,1,75.0,42.0,1.0,1.0
19,001,021,no link,no blood relation,381.6,21.0,16.0,17.657388456344606,3.7514705657958984,Catholic,Lutheran,0,1,75.0,46.0,1.0,1.0
20,001,022,no link,no blood relation,307.2,21.0,19.0,17.657388456344606,5.517803719520569,Catholic,Muslim,0,1,75.0,23.0,1.0,1.0
21,001,023,no link,no blood relation,312.0,21.0,13.0,17.657388456344606,2.351911783218384,Catholic,Muslim,0,1,75.0,38.0,1.0,1.0
22,001,024,no link,other blood relation,369.6,21.0,13.0,17.657388456344606,5.605098009109497,Catholic,Lutheran,0,1,75.0,78.0,1.0,1.0
23,001,025,no link,no blood relation,340.8,21.0,13.0,17.657388456344606,1.266176462173462,Catholic,Lutheran,0,1,75.0,27.0,1.0,1.0
24,001,026,no link,no blood relation,357.6,21.0,13.0,17.657388456344606,2.3145098090171814,Catholic,Muslim,0,1,75.0,48.0,1.0,1.0
25,001,027,no link,no blood relation,338.4,21.0,16.0,17.657388456344606,1.461137294769287,Catholic,Lutheran,0,1,75.0,42.0,1.0,1.0
26,001,028,no link,no blood relation,273.6,21.0,4.0,17.657388456344606,2.819678436756134,Catholic,Lutheran,0,1,75.0,28.0,1.0,1.0
27,001,029,unilateral link,no blood relation,532.8,21.0,21.0,17.657388456344606,15.112293970108032,Catholic,Lutheran,0,1,75.0,57.0,1.0,1.0
28,001,030,no link,no blood relation,720.0,21.0,6.0,17.657388456344606,3.0929410457611084,Catholic,Lutheran,0,1,75.0,35.0,1.0,1.0
29,001,031,no link,no blood relation,717.6,21.0,6.0,17.657388456344606,7.742764831542969,Catholic,Lutheran,0,1,75.0,85.0,1.0,1.0
30,001,032,no link,no blood relation,741.6,21.0,4.0,17.657388456344606,9.144235359191894,Catholic,Muslim,0,1,75.0,33.0,1.0,1.0
31,001,033,no link,no blood relation,741.6,21.0,23.0,17.657388456344606,4.088599716186524,Catholic,Lutheran,0,1,75.0,50.0,1.0,0.0
32,001,034,no link,no blood relation,756.0,21.0,21.0,17.657388456344606,1.8145294222831727,Catholic,Muslim,0,1,75.0,25.0,1.0,1.0
33,001,035,no link,no blood relation,712.8,21.0,23.0,17.657388456344606,3.2090764260292053,Catholic,Muslim,0,1,75.0,78.0,1.0,0.0
34,001,036,no link,no blood relation,698.4,21.0,4.0,17.657388456344606,0.7562941610813141,Catholic,Muslim,0,0,75.0,21.0,1.0,1.0
35,001,037,no link,no blood relation,708.0,21.0,6.0,17.657388456344606,0.6932352930307388,Catholic,Lutheran,0,0,75.0,33.0,1.0,0.0
36,001,038,no link,no blood relation,700.8,21.0,21.0,17.657388456344606,5.46752924823761,Catholic,Lutheran,0,1,75.0,65.0,1.0,1.0
